Filter Size	Num Hash Functions	Key Size	Keys Percentage	False Positive Count
500	1	2	0	259
500	1	2	33	201
500	1	2	66	98
500	1	2	99	5
500	1	3	0	336
500	1	3	33	225
500	1	3	66	112
500	1	3	99	4
500	1	4	0	342
500	1	4	33	220
500	1	4	66	104
500	1	4	99	4
500	1	5	0	311
500	1	5	33	212
500	1	5	66	101
500	1	5	99	3
500	1	6	0	328
500	1	6	33	206
500	1	6	66	103
500	1	6	99	1
500	1	7	0	319
500	1	7	33	200
500	1	7	66	101
500	1	7	99	5
500	1	8	0	337
500	1	8	33	202
500	1	8	66	112
500	1	8	99	3
500	1	9	0	305
500	1	9	33	199
500	1	9	66	114
500	1	9	99	5
500	1	10	0	308
500	1	10	33	214
500	1	10	66	112
500	1	10	99	4
500	2	2	0	330
500	2	2	33	223
500	2	2	66	119
500	2	2	99	5
500	2	3	0	368
500	2	3	33	252
500	2	3	66	129
500	2	3	99	4
500	2	4	0	371
500	2	4	33	244
500	2	4	66	115
500	2	4	99	3
500	2	5	0	358
500	2	5	33	243
500	2	5	66	122
500	2	5	99	4
500	2	6	0	385
500	2	6	33	253
500	2	6	66	128
500	2	6	99	2
500	2	7	0	369
500	2	7	33	241
500	2	7	66	121
500	2	7	99	5
500	2	8	0	413
500	2	8	33	254
500	2	8	66	130
500	2	8	99	3
500	2	9	0	387
500	2	9	33	254
500	2	9	66	135
500	2	9	99	5
500	2	10	0	362
500	2	10	33	244
500	2	10	66	127
500	2	10	99	4
500	3	2	0	386
500	3	2	33	261
500	3	2	66	139
500	3	2	99	4
500	3	3	0	432
500	3	3	33	302
500	3	3	66	151
500	3	3	99	4
500	3	4	0	431
500	3	4	33	282
500	3	4	66	146
500	3	4	99	3
500	3	5	0	436
500	3	5	33	293
500	3	5	66	151
500	3	5	99	5
500	3	6	0	432
500	3	6	33	291
500	3	6	66	144
500	3	6	99	2
500	3	7	0	416
500	3	7	33	285
500	3	7	66	146
500	3	7	99	5
500	3	8	0	453
500	3	8	33	306
500	3	8	66	152
500	3	8	99	3
500	3	9	0	434
500	3	9	33	288
500	3	9	66	149
500	3	9	99	5
500	3	10	0	408
500	3	10	33	271
500	3	10	66	137
500	3	10	99	4
500	4	2	0	429
500	4	2	33	284
500	4	2	66	152
500	4	2	99	5
500	4	3	0	474
500	4	3	33	316
500	4	3	66	161
500	4	3	99	5
500	4	4	0	465
500	4	4	33	313
500	4	4	66	155
500	4	4	99	5
500	4	5	0	463
500	4	5	33	312
500	4	5	66	162
500	4	5	99	5
500	4	6	0	463
