TamanyFiltre	NumHash	TamanyClau	porcentatge	FalsosPositius	FalsosNegatius
500	1	2	0	286	0
500	1	2	33	35	85
500	1	2	66	2	316
500	1	2	99	0	488
500	1	3	0	306	0
500	1	3	33	42	61
500	1	3	66	0	290
500	1	3	99	0	487
500	1	4	0	314	0
500	1	4	33	45	77
500	1	4	66	5	290
500	1	4	99	0	487
500	1	5	0	306	0
500	1	5	33	38	69
500	1	5	66	5	286
500	1	5	99	0	493
500	1	6	0	308	0
500	1	6	33	40	66
500	1	6	66	1	294
500	1	6	99	0	481
500	1	7	0	310	0
500	1	7	33	42	74
500	1	7	66	3	291
500	1	7	99	0	486
500	1	8	0	291	0
500	1	8	33	41	67
500	1	8	66	7	294
500	1	8	99	0	483
500	1	9	0	316	0
500	1	9	33	33	70
500	1	9	66	4	282
500	1	9	99	0	489
500	1	10	0	309	0
500	1	10	33	43	73
500	1	10	66	7	290
500	1	10	99	0	484
500	2	2	0	354	0
500	2	2	33	45	54
500	2	2	66	1	337
500	2	2	99	0	493
500	2	3	0	380	0
500	2	3	33	23	53
500	2	3	66	0	315
500	2	3	99	0	495
500	2	4	0	363	0
500	2	4	33	27	63
500	2	4	66	0	323
500	2	4	99	0	494
500	2	5	0	394	0
500	2	5	33	30	61
500	2	5	66	0	323
500	2	5	99	0	494
500	2	6	0	357	0
500	2	6	33	24	58
500	2	6	66	0	320
500	2	6	99	0	493
500	2	7	0	344	0
500	2	7	33	26	66
500	2	7	66	0	321
500	2	7	99	0	495
500	2	8	0	345	0
500	2	8	33	18	46
500	2	8	66	0	321
500	2	8	99	0	494
500	2	9	0	388	0
500	2	9	33	29	59
500	2	9	66	0	324
500	2	9	99	0	495
500	2	10	0	351	0
500	2	10	33	27	55
500	2	10	66	1	324
500	2	10	99	0	494
500	3	2	0	385	0
500	3	2	33	48	46
500	3	2	66	0	340
500	3	2	99	0	494
500	3	3	0	436	0
500	3	3	33	22	40
500	3	3	66	0	329
500	3	3	99	0	495
500	3	4	0	422	0
500	3	4	33	29	52
500	3	4	66	0	327
500	3	4	99	0	495
500	3	5	0	429	0
500	3	5	33	25	44
500	3	5	66	0	329
500	3	5	99	0	495
500	3	6	0	407	0
500	3	6	33	25	39
500	3	6	66	0	326
500	3	6	99	0	494
500	3	7	0	410	0
500	3	7	33	29	45
500	3	7	66	0	327
500	3	7	99	0	495
500	3	8	0	390	0
500	3	8	33	19	31
500	3	8	66	0	330
500	3	8	99	0	495
500	3	9	0	421	0
500	3	9	33	23	38
500	3	9	66	0	329
500	3	9	99	0	495
500	3	10	0	435	0
500	3	10	33	26	36
500	3	10	66	0	328
500	3	10	99	0	495
500	4	2	0	402	0
500	4	2	33	59	43
500	4	2	66	0	342
500	4	2	99	0	495
500	4	3	0	468	0
500	4	3	33	29	18
500	4	3	66	0	330
500	4	3	99	0	495
500	4	4	0	432	0
500	4	4	33	24	32
500	4	4	66	0	330
500	4	4	99	0	495
500	4	5	0	459	0
500	4	5	33	27	24
500	4	5	66	0	330
500	4	5	99	0	495
500	4	6	0	450	0
500	4	6	33	26	23
500	4	6	66	0	329
500	4	6	99	0	494
500	4	7	0	455	0
500	4	7	33	24	20
500	4	7	66	0	329
500	4	7	99	0	495
500	4	8	0	447	0
500	4	8	33	25	18
500	4	8	66	0	330
500	4	8	99	0	495
500	4	9	0	462	0
500	4	9	33	27	21
500	4	9	66	0	330
500	4	9	99	0	495
500	4	10	0	468	0
500	4	10	33	21	20
500	4	10	66	0	328
500	4	10	99	0	495
500	5	2	0	412	0
500	5	2	33	61	40
500	5	2	66	0	342
500	5	2	99	0	495
500	5	3	0	485	0
500	5	3	33	33	15
500	5	3	66	0	330
500	5	3	99	0	495
500	5	4	0	466	0
500	5	4	33	30	17
500	5	4	66	0	330
500	5	4	99	0	495
500	5	5	0	487	0
500	5	5	33	40	14
500	5	5	66	0	330
500	5	5	99	0	495
500	5	6	0	469	0
500	5	6	33	36	14
500	5	6	66	0	330
500	5	6	99	0	495
500	5	7	0	488	0
500	5	7	33	34	13
500	5	7	66	0	330
500	5	7	99	0	495
500	5	8	0	468	0
500	5	8	33	30	15
500	5	8	66	0	330
500	5	8	99	0	495
500	5	9	0	473	0
500	5	9	33	34	12
500	5	9	66	0	330
500	5	9	99	0	495
500	5	10	0	471	0
500	5	10	33	26	12
500	5	10	66	0	330
500	5	10	99	0	495
500	6	2	0	415	0
500	6	2	33	70	38
500	6	2	66	0	342
500	6	2	99	0	495
500	6	3	0	488	0
500	6	3	33	39	8
500	6	3	66	0	330
500	6	3	99	0	495
500	6	4	0	500	0
500	6	4	33	34	10
500	6	4	66	0	330
500	6	4	99	0	495
500	6	5	0	488	0
500	6	5	33	44	10
500	6	5	66	0	330
500	6	5	99	0	495
500	6	6	0	478	0
500	6	6	33	32	8
500	6	6	66	0	330
500	6	6	99	0	495
500	6	7	0	491	0
500	6	7	33	33	4
500	6	7	66	0	330
500	6	7	99	0	495
500	6	8	0	482	0
500	6	8	33	39	9
500	6	8	66	0	330
500	6	8	99	0	495
500	6	9	0	491	0
500	6	9	33	33	6
500	6	9	66	0	330
500	6	9	99	0	495
500	6	10	0	479	0
500	6	10	33	31	7
500	6	10	66	0	330
500	6	10	99	0	495
500	7	2	0	425	0
500	7	2	33	68	29
500	7	2	66	0	342
500	7	2	99	0	495
500	7	3	0	493	0
500	7	3	33	48	3
500	7	3	66	0	330
500	7	3	99	0	495
500	7	4	0	500	0
500	7	4	33	39	5
500	7	4	66	0	330
500	7	4	99	0	495
500	7	5	0	491	0
500	7	5	33	47	4
500	7	5	66	0	330
500	7	5	99	0	495
500	7	6	0	494	0
500	7	6	33	42	4
500	7	6	66	0	330
500	7	6	99	0	495
500	7	7	0	489	0
500	7	7	33	50	4
500	7	7	66	0	330
500	7	7	99	0	495
500	7	8	0	479	0
500	7	8	33	38	6
500	7	8	66	0	330
500	7	8	99	0	495
500	7	9	0	491	0
500	7	9	33	38	3
500	7	9	66	0	330
500	7	9	99	0	495
500	7	10	0	493	0
500	7	10	33	40	4
500	7	10	66	0	330
500	7	10	99	0	495
500	8	2	0	425	0
500	8	2	33	77	28
500	8	2	66	0	342
500	8	2	99	0	495
500	8	3	0	499	0
500	8	3	33	52	2
500	8	3	66	0	330
500	8	3	99	0	495
500	8	4	0	500	0
500	8	4	33	44	3
500	8	4	66	0	330
500	8	4	99	0	495
500	8	5	0	500	0
500	8	5	33	53	2
500	8	5	66	0	330
