TamanyFiltre	NumHash	TamanyClau	porcentatge	FalsosPositius	FalsosNegatius
500	1	2	0	286	0
500	1	2	33	35	93
500	1	2	66	2	99
500	1	2	99	0	5
500	1	3	0	306	0
500	1	3	33	42	103
500	1	3	66	0	112
500	1	3	99	0	2
500	1	4	0	314	0
500	1	4	33	45	101
500	1	4	66	5	103
500	1	4	99	0	5
500	1	5	0	306	0
500	1	5	33	38	113
500	1	5	66	5	105
500	1	5	99	0	4
500	1	6	0	308	0
500	1	6	33	40	108
500	1	6	66	1	114
500	1	6	99	0	4
500	1	7	0	310	0
500	1	7	33	42	101
500	1	7	66	3	109
500	1	7	99	0	5
500	1	8	0	291	0
500	1	8	33	41	96
500	1	8	66	7	107
500	1	8	99	0	4
500	1	9	0	316	0
500	1	9	33	33	115
500	1	9	66	4	105
500	1	9	99	0	4
500	1	10	0	309	0
500	1	10	33	43	84
500	1	10	66	7	102
500	1	10	99	0	5
500	2	2	0	354	0
500	2	2	33	45	184
500	2	2	66	1	147
500	2	2	99	0	5
500	2	3	0	380	0
500	2	3	33	23	193
500	2	3	66	0	163
500	2	3	99	0	5
500	2	4	0	363	0
500	2	4	33	27	214
500	2	4	66	0	159
500	2	4	99	0	5
500	2	5	0	394	0
500	2	5	33	30	201
500	2	5	66	0	168
500	2	5	99	0	5
500	2	6	0	357	0
500	2	6	33	24	199
500	2	6	66	0	161
500	2	6	99	0	5
500	2	7	0	344	0
500	2	7	33	26	196
500	2	7	66	0	157
500	2	7	99	0	5
500	2	8	0	345	0
500	2	8	33	18	197
500	2	8	66	0	162
500	2	8	99	0	5
500	2	9	0	388	0
500	2	9	33	29	206
500	2	9	66	0	166
500	2	9	99	0	5
500	2	10	0	351	0
500	2	10	33	27	201
500	2	10	66	1	160
500	2	10	99	0	5
500	3	2	0	385	0
500	3	2	33	48	234
500	3	2	66	0	155
500	3	2	99	0	5
500	3	3	0	436	0
500	3	3	33	22	255
500	3	3	66	0	169
500	3	3	99	0	5
500	3	4	0	422	0
500	3	4	33	29	246
500	3	4	66	0	169
500	3	4	99	0	5
500	3	5	0	429	0
500	3	5	33	25	266
500	3	5	66	0	170
500	3	5	99	0	5
500	3	6	0	407	0
500	3	6	33	25	268
500	3	6	66	0	168
500	3	6	99	0	5
500	3	7	0	410	0
500	3	7	33	29	277
500	3	7	66	0	170
500	3	7	99	0	5
500	3	8	0	390	0
500	3	8	33	19	235
500	3	8	66	0	170
500	3	8	99	0	5
500	3	9	0	421	0
500	3	9	33	23	258
500	3	9	66	0	170
500	3	9	99	0	5
500	3	10	0	435	0
500	3	10	33	26	251
500	3	10	66	0	169
500	3	10	99	0	5
500	4	2	0	402	0
500	4	2	33	59	245
500	4	2	66	0	159
500	4	2	99	0	5
500	4	3	0	468	0
500	4	3	33	29	286
500	4	3	66	0	168
500	4	3	99	0	5
500	4	4	0	432	0
500	4	4	33	24	288
500	4	4	66	0	169
500	4	4	99	0	5
500	4	5	0	459	0
500	4	5	33	27	304
500	4	5	66	0	170
500	4	5	99	0	5
500	4	6	0	450	0
500	4	6	33	26	290
500	4	6	66	0	169
500	4	6	99	0	5
500	4	7	0	455	0
500	4	7	33	24	294
500	4	7	66	0	170
500	4	7	99	0	5
500	4	8	0	447	0
500	4	8	33	25	282
500	4	8	66	0	170
500	4	8	99	0	5
500	4	9	0	462	0
500	4	9	33	27	292
